"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.932222833E0,2.063683548E1,-9.150471497E0,-9.897418213E0,2.464891467E1
2.942166833E0,2.049732559E1,-9.187893677E0,-9.712253265E0,2.447213947E1
2.952110833E0,1.994078293E1,-9.039851532E0,-9.793085175E0,2.398454204E1
2.962054833E0,1.870779694E1,-8.637188873E0,-9.940528564E0,2.287786716E1
2.971998833E0,1.616832779E1,-7.944130096E0,-1.033435959E1,2.076831757E1
2.981942833E0,1.254421417E1,-6.941814423E0,-1.136391861E1,1.829439102E1
2.991886833E0,8.737630005E0,-5.369035034E0,-1.240874588E1,1.609812690E1
3.001830833E0,5.353916473E0,-3.223696289E0,-1.323293198E1,1.463445004E1
3.011774833E0,2.603086853E0,-1.099912720E0,-1.356030121E1,1.385162944E1
3.021717833E0,-5.239105225E-2,1.161883850E0,-1.290601181E1,1.295831238E1
3.031661833E0,-3.655099182E0,3.949087830E0,-1.173364975E1,1.290866303E1
3.041605833E0,-8.333171082E0,6.748117218E0,-1.114657059E1,1.546689568E1
3.051549833E0,-1.265857635E1,9.406888275E0,-1.100900665E1,1.923349500E1
3.061493833E0,-1.636217468E1,1.239946518E1,-1.123428818E1,2.340249405E1
3.071437833E0,-1.850751343E1,1.496902176E1,-1.218705688E1,2.674180288E1
3.081381833E0,-1.773047928E1,1.630080231E1,-1.273162445E1,2.724298648E1
3.091325833E0,-1.534324356E1,1.622760452E1,-1.249152374E1,2.558883422E1
3.101269833E0,-1.210921875E1,1.536195465E1,-1.182720520E1,2.285838166E1
3.111213833E0,-8.721463623E0,1.354548203E1,-1.071127579E1,1.934619963E1
3.121157833E0,-5.758974152E0,1.139370667E1,-9.574539642E0,1.595788658E1
3.131101833E0,-3.180286560E0,9.527537384E0,-8.141270142E0,1.292936467E1
3.141045833E0,-1.192270660E0,7.982151031E0,-6.428980865E0,1.031833511E1
3.150989833E0,2.308200073E-1,6.448739777E0,-5.308261414E0,8.355666450E0
3.160933833E0,1.394051056E0,4.774621124E0,-4.864284668E0,6.957129477E0
3.170876833E0,2.719993744E0,3.083737335E0,-4.824168091E0,6.338801124E0
3.180820833E0,4.167184296E0,1.236279144E0,-5.269641724E0,6.831027373E0
3.190764833E0,6.039939880E0,-9.304650879E-1,-6.077960815E0,8.619062983E0
3.200708833E0,8.756790161E0,-3.003354492E0,-6.806795197E0,1.149060368E1
3.210652833E0,1.166628983E1,-4.799918518E0,-6.912026367E0,1.438463224E1
